종목코드,종목명
067160,SOOP
067280,멀티캠퍼스
067290,JW신약
067310,하나마이크론
067390,아스트
067630,HLB생명과학
068240,다원시스
068270,셀트리온
068760,셀트리온제약
069080,웹젠
069110,코스온
072870,메가스터디
073070,에스모
073570,리튬포어스
074600,원익QnC
078020,이베스트투자증권
078070,유비쿼스홀딩스
078130,국일제지
078150,HB테크놀러지
078160,메디포스트
078340,컴투스
078600,대주전자재료
080160,모두투어
080220,제주반도체
080420,모다이노칩
082270,젬백스
082920,비츠로셀
083650,비에이치아이
083790,크리스탈지노믹스
084110,휴온스글로벌
084370,유진테크
084850,아이티엠반도체
084990,헬릭스미스
085370,루트로닉
085660,차바이오텍
086390,유니테스트
086450,동국제약
086520,에코프로
086820,바이오솔루션
086900,메디톡스
086980,쇼박스
087010,펩트론
088800,에이스테크
089030,테크윙
089140,넥스턴
089600,나스미디어
089980,상아프론테크
090460,비에이치
090470,제이스텍
091120,이엠텍
091700,파트론
091990,셀트리온헬스케어
092040,아미코젠
092070,디엔에프
092190,서울바이오시스
092730,네오팜
093920,서원인텍
094360,칩스앤미디어
094840,슈프리마에이치큐
095190,이엠코리아
095340,ISC
095500,미래나노텍
095610,테스
095660,네오위즈
095700,제넥신
096530,씨젠
097520,엠씨넥스
098460,고영
099190,아이센스
100090,SK오션플랜트
100120,뷰웍스
100130,동국S&C
100700,세운메디칼
101360,에코앤드림
101490,에스앤에스텍
101670,하이드로리튬
101730,조이맥스
102710,이엔에프테크놀로지
102940,코오롱생명과학
104480,티케이케미칼
104830,원익머트리얼즈
108230,톱텍
108320,LX세미콘
108790,인터파크
108860,셀바스AI
109610,에스와이패널
110790,크리스에프앤씨
112040,위메이드
114120,크루셜텍
114190,강원에너지
114570,지스마트글로벌
115160,휴맥스
115450,에이치엘비테라퓨틱스
115960,연우
118990,모트렉스
119610,인터로조
119860,커넥트웨이브
121440,골프존뉴딘홀딩스
121600,나노신소재
121800,비덴트
122870,와이지엔터테인먼트
122990,와이솔
123100,원익테라세미콘
123420,선데이토즈
130960,"CJ E&M"
131290,티에스이
131370,알서포트
131970,두산테스나
136480,하림
137400,피엔티
138070,신진에스엠
138080,오이솔루션
140410,메지온
140860,파크시스템스
141080,리가켐바이오
143240,사람인에이치알
144510,지씨셀
145020,휴젤
151910,SBW생명과학
160550,NEW
166090,하나머티리얼즈
168330,내츄럴엔도텍
171120,라이온켐텍
174900,앱클론
175250,아이큐어
178320,서진시스템
178920,PI첨단소재
179900,유티아이
182400,엔케이맥스
183300,코미코
183490,엔지켐생명과학
189300,인텔리안테크
192080,더블유게임즈
192440,슈피겐코리아
194480,데브시스터즈
194700,노바렉스
195940,HK이노엔
196170,알테오젠
200130,콜마비앤에이치
200230,텔콘RF제약
200670,휴메딕스
204270,제이앤티씨
205470,휴마시스
206640,바디텍메드
206650,유바이오로직스
213420,덕산네오룩스
214150,클래시스
214370,케어젠
214450,파마리서치
215000,골프존
215200,메가스터디교육
215360,우리산업
215600,신라젠
217480,에스디생명공학
217730,강스템바이오텍
218410,RFHIC
222040,코스맥스엔비티
222080,씨아이에스
222800,심텍
225570,넥슨게임즈
226950,올릭스
228760,지노믹트리
230240,에치에프알
230360,에코마케팅
235980,메드팩토
237690,에스티팜
237880,클리오
239610,에이치엘사이언스
240810,원익IPS
241710,코스메카코리아
243070,휴온스
243840,신흥에스이씨
247540,에코프로비엠
253450,스튜디오드래곤
256840,한국비엔씨
257720,실리콘투
263050,유틸렉스
263750,펄어비스
265520,AP시스템
267980,매일유업
268600,셀리버리
272290,이녹스첨단소재
277810,레인보우로보틱스
278280,천보
281740,레이크머티리얼즈
282880,코윈테크
287410,제이시스메디칼
290510,코리아센터
290650,엘앤씨바이오
293490,카카오게임즈
293780,압타바이오
294090,이오플로우
294140,레몬
294570,쿠콘
298380,에이비엘바이오
298540,더네이쳐홀딩스
299030,하나기술
299660,셀리드
299900,위지윅스튜디오
310210,보로노이
319660,피에스케이
323990,박셀바이오
328130,루닛
336570,원텍
348210,넥스틴
348370,엔켐
352480,씨앤씨인터내셔널
357780,솔브레인
358570,지아이이노베이션
360070,탑머티리얼
365340,성일하이텍
372170,윤성에프앤씨
376300,디어유
383310,에코프로에이치엔
393890,더블유씨피
394280,오픈엣지테크놀로지
399720,가온칩스
403870,HPSP
417200,LS머트리얼즈
418550,제이오
420770,기가비스
425040,티이엠씨
