종목코드,종목명
014820,동원시스템즈
014830,유니드
014900,삼보컴퓨터
014990,인디에프
015590,대경기계
015760,한국전력
015860,일진홀딩스
015890,태경산업
016360,삼성증권
016380,KG스틸
016580,환인제약
016800,퍼시스
016830,한미은행
016880,웅진닷컴
017300,KDS
017670,SK텔레콤
017800,현대엘리베이
017810,풀무원
017900,광전자
017960,한국카본
018250,애경산업
018260,삼성에스디에스
018880,한온시스템
019170,신풍제약
019680,대교
020000,한섬
020150,롯데에너지머티리얼즈
020560,아시아나항공
020760,일진디스플
021240,코웨이
022100,포스코DX
023530,롯데쇼핑
024070,WISCOM
024110,기업은행
024720,한국콜마
025000,KPX케미칼
025530,SJM
025540,한국단자
025560,미래산업
025750,한솔홈데코
025850,KPX화인케미칼
025860,남해화학
025930,팬택
026890,디피씨
026960,동서
027410,BGF
027840,고덴시
027970,세하
028050,삼성E&A
028260,삼성물산
028670,팬오션
029460,케이씨텍
029530,신도리코
029780,삼성카드
030000,제일기획
030200,KT
031430,신세계인터내셔날
031820,콤텍시스템
032350,롯데관광개발
032390,KTF
032640,LG유플러스
032710,LG카드
032830,삼성생명
033240,자화전자
033530,세종공업
033780,KT&G
033920,무학
034020,두산에너빌리티
034120,SBS
034220,LG디스플레이
034730,SK
035150,백산
035250,강원랜드
035420,NAVER
035720,카카오
036460,한국가스공사
036530,S&T홀딩스
036570,엔씨소프트
036580,팜스코
037620,미래에셋증권
039130,하나투어
039490,키움증권
042100,현대오토넷
042660,한화오션
042670,HD현대인프라코어
042700,한미반도체
044820,코스맥스비티아이
047040,대우건설
047050,포스코인터내셔널
047810,한국항공우주
049770,동원F&B
051310,포스코플랜텍
051600,한전KPS
051900,LG생활건강
051910,LG화학
052690,한전기술
053000,우리금융
055550,신한지주
057050,현대홈쇼핑
058430,포스코강판
060000,국민은행
060980,한라홀딩스
063350,팬택앤큐리텔
064350,현대로템
064420,케이피케미칼
064960,SNT모티브
066570,LG전자
066970,엘앤에프
067250,STX조선해양
068270,셀트리온
068870,LG생명과학
069260,TKG휴켐스
069620,대웅제약
069960,현대백화점
071050,한국금융지주
071840,롯데하이마트
071970,STX메탈
073240,금호타이어
077970,STX엔진
078520,에이블씨엔씨
078930,GS
079160,"CJ CGV"
079430,현대리바트
079550,LIG넥스원
079980,휴비스
081660,휠라홀딩스
082740,두산엔진
084010,대한제강
084870,TBH글로벌
085310,엔케이
086280,현대글로비스
086790,하나금융지주
088350,한화생명
090430,아모레퍼시픽
091090,세원셀론텍
093050,LF
093370,후성
096760,JW홀딩스
096770,SK이노베이션
097230,한진중공업
097950,CJ제일제당
100840,S&TC
103130,웅진에너지
103140,풍산
103150,하이트맥주
103590,일진전기
104700,한국철강
105560,KB금융
105630,한세실업
108670,LX하우시스
111770,영원무역
112610,씨에스윈드
114090,GKL
115390,락앤락
120110,코오롱인더
128940,한미약품
137310,에스디바이오센서
138040,메리츠금융지주
138930,BNK금융지주
139130,DGB금융지주
139480,이마트
145720,덴티움
145990,삼양사
161390,한국타이어앤테크놀로지
161890,한국콜마
170900,동아에스티
175330,JB금융지주
178920,PI첨단소재
180640,한진칼
185750,종근당
192080,더블유게임즈
192400,쿠쿠홀딩스
192820,코스맥스
204320,HL만도
207940,삼성바이오로직스
214320,이노션
241560,두산밥캣
241590,화승엔터프라이즈
251270,넷마블
259960,크래프톤
267250,HD현대
267260,HD현대일렉트릭
271560,오리온
271940,일진하이솔루스
272210,한화시스템
280360,롯데웰푸드
282330,BGF리테일
284740,쿠쿠홈시스
285130,SK케미칼
294870,HDC현대산업개발
298020,효성티앤씨
298040,효성중공업
298050,효성첨단소재
300720,한일시멘트
302440,SK바이오사이언스
316140,우리금융지주
323410,카카오뱅크
326030,SK바이오팜
329180,HD현대중공업
336260,두산퓨얼셀
352820,하이브
361610,SK아이이테크놀로지
373220,LG에너지솔루션
375500,DL이앤씨
377300,카카오페이
381970,케이카
383220,F&F
383800,LX홀딩스
402340,SK스퀘어
450080,에코프로머티
454910,두산로보틱스
457190,이수스페셜티케미컬
